,content
597,#正风反腐在行动##打虎拍蝇#【安徽检察机关依法对周榕涉嫌受贿、徇私枉法案提起公诉】近日，安徽省政协社会和法制委员会原副主任周榕（正厅级）涉嫌受贿罪、徇私枉法罪一案，经安徽省人民检察院指定管辖，由池州市人民检察院依法向池州市中级人民法院提起公诉。检察机关在审查起诉阶段，依法告知了 ...全文
598,【泪目！#父亲上台替殉职的女儿领奖#】12月8日下午，#2020年度感动湖南人物颁奖典礼举行#！方璇的父亲方彦走上2020年度“感动湖南人物”颁奖典礼，代表方璇接过2020“感动湖南”年度十佳人物的奖杯。“方璇生于大山，成长于大山，服务于大山。她离开我们已经四年了，但是党和国家没有忘记她，给了她 ...全文
599,#清远红杉开始按耐不住了#！放眼望去，画面太美，超想看！入冬后的“爱心湖”“红”得如此任性，“美”得如此心醉，红杉成林，流水汩汩，湖光荡漾，#旅行打卡#像是误入了“桃源秘境”！#清远这里美的不可思议#@清远文体旅游免费赏！清远这里美得不可思议！
600,#河南2位老兵亲兄弟共庆百岁寿诞#【河南抗战老兵的百岁寿诞，是老兵亦是亲兄弟，携手共度百年，讲述风雨历史】12月9日上午11时，在河南省南阳市方城县拐河镇南王庄村，志愿者们将为一对同胞兄弟抗战老兵庆祝他们的百岁生日，其中哥哥姚自法104岁，弟弟申自成100岁。届时，百岁老兵将讲述他们的抗战故事 ...全文
601,【网传杭州地铁一号线司机阳性、全体地铁职工核酸检测系谣言！】12月7日，一则“杭州地铁一号线司机阳性，现在全体职工核酸”消息截图流传。记者第一时间求证，该消息为谣言。防疫信息请关注相关部门官方消息，请大家不信谣、不传谣，一切以官方发布消息为准。
602,迪丽热巴哈哈哈哈哈哈她洒了自己一身快把自拍交出来～影视圈豆豆的微博视频
603,#多国专家质疑美所谓“民主峰会”#“民主峰会”成众矢之的？匈牙利拒绝替美说话，多国媒体发声批评#今日热门#静心综艺阁的微博视频
604,【辟谣！#警方辟谣昆山杀人分尸案#警方：消息不实 跳楼自杀造成身体局部离断】#网传昆山女子遭杀害分尸不实#12月8日，江苏昆山，网传张浦镇一小区疑似有人杀人分尸，引发网友关注。昆山市公安局发布通报，接警后民警迅速赶到现场，确认坠楼女子已死亡。经现场勘查并调取遗书等相关物证，认定死者系跳 ...全文
605,一胖毁所有，果然不是说着玩的追星颜宝的微博视频
606,"#永远是王一博的舞迷#王一博跳舞让101女孩尖叫不断,一个男人的魅力,全被他展现出来了娱影之梦G的微博视频"
607,#灰姑娘是真的捡不了水晶鞋#可以看得出来灰姑娘当时不是不想捡，而是真的捡不了啊圈内一把手的微博视频
608,【#官兵在海拔4800米高原泡上温泉澡#】“泡温泉让我感觉热血沸腾，一天的疲惫一扫而光！”海拔4800米高原驻训场，为让官兵在繁重任务中放松身体、消除疲劳，新疆军区某工兵团特意将天然温泉水引入板房。窗外冰天雪地，澡堂里温暖如春，官兵们舒舒服服泡温泉，开开心心去执勤！@央视军事...全文
609,【#小孩脖子不慎被夹旋转门缝隙#众人合力营救】12月6日，安徽安庆。一小孩脖子被夹在酒店自动旋转门的门缝中。小孩呼吸困难，神色萎靡，怀抱小孩的女子焦急万分。而后酒店住客和工作人员敲碎酒店玻璃门，徒手拨开一块块玻璃，将孩子救出。因得到及时救治，孩子目前已脱离生命危险。营救过程中一年轻人 ...全文
610,【央视网评：#文峰彩虹屁是病态的企业文化#】“首屈一指的三百六十行状元大满贯”“浩哥是有天眼的”…近日，《秘书眼中的上海文峰美容美发集团总裁陈浩》一文受到热议。夸张的内容、可笑的恭维，还堂而皇之发在代表企业形象的微信公号里，反映出畸形病态的企业文化。此类现象的蔓延，很容易演化为职场 ...全文
611,【#醉汉怒踹电梯还徒手扒门#因危害公共安全被公诉】8月24日晚，上海静安一醉酒男子付某与朋友乘坐电梯时，击打电梯控制面板致电梯骤停，之后又多次对电梯拳打脚踢，并强行将电梯门拉开，进入一二层楼之间的电梯井内。经多方合力救援，付某等四人被困70分钟后获救。近日， ...全文
612,打开视频一秒和朱正廷恋爱，是你们的冬日理想男友吗？朱正廷多多发视频吧🙏#朱正廷我们恋爱吧#圈扒酱的微博视频
613,【#王思聪关联公司被执行约9.9万元#：王思聪间接持股约8.59%】近日，上海。天眼查App显示，上海网鱼信息科技有限公司，新增一则被执行人信息，执行标的约9.9万。据悉，王思聪担任该公司董事职务，并间接持股约8.59%。@西部决策西部决策的微博视频
614,【720秒生死通话……#110接线小姐姐暖心劝下欲轻生男孩 #】日前，四川@威远公安110指挥中心大厅内，一通报警电话引起接警员胡丽娟以及值守民警们的高度警觉：一14岁男孩因为得不到父母的信任想要轻生。最终，凭借接警员的沉着冷静和暖心话语，街面巡组与辖区派出所的争分夺秒，民警及时找到欲轻生男孩 ...全文
615,京东赚很多钱的话，是一件很糟糕的事情…最搞冷笑话的微博视频
616,恶毒后妈拿继女撒气，刚好被爸爸看见，下秒爸爸做法真解气#影视剪辑##金牌混剪#A小瓶盖baby的微博视频
617,下一站是幸福贺繁星&元宋高糖甜剧断崖式下跌#明星日常##综艺#妙儿影视的微博视频
618,@凤凰卫视吕宁思#北京冬奥会##拜登#美国和他的一些小兄弟国家现在宣布对北京冬奥会进行“外交抵制”，其实在中国方面对此早有准备，也看穿了这只是西方一些国家“反华”大合唱中的一部分，从北京冬奥本身来说应该说没有丝毫的影响。#v光计划#凤凰卫视吕宁思的微博视频
619,【#被拐儿童找回后将生母拉黑#】据@央视网快看消息，杨家鑫和妈妈夏先菊在警方的安排下见了一面后，决定还是和养父母一起生活，他至今没有回过四川。更让夏先菊伤心的是，不知何时，儿子已经把她拉黑了。杨家鑫母亲 夏先菊：“我只是想像一个朋友那样关心一下，可是他都把我拉黑了，我只能从他的养母 ...全文
620,嘿～天气凉啦！火锅走起！冬天就是要宅在家吃牛肉火锅呀！这几天真的太冷啦满脑子里都是火锅…在广东的招牌火锅就是潮汕牛肉火锅啦！今天自己炖了牛骨汤煮的时候就已经满屋子香味了～#潮汕牛肉火锅究竟好在哪##理想生活季##花式厨艺挑战#@微博美食@鲜城...全文
621,嘿 我们回来啦
622,实用表情包14
623,平时真得善待朋友……#分手后谁才是最难过的人#
624,你也很为我着迷吧？@风流倜傥若驰君
625,#这是缩小版谢广坤吗#小朋友能有什么坏心情呢#乐暖冬日计划#幽默段王爷的微博视频
626,【#善良温暖的人出场自带BGM#】大街小巷为袁爷爷送行的群众，一线作战高喊“不累”的抗洪战士，核酸检测现场认出妈妈的小女孩…今年疫情仍然反复，但善良的人们用自己的方式诠释着“同舟共济”，每一个人都在努力活出自己的模样。#十首BGM回顾我们共同经历的2021#↓↓愿你勇敢逐梦，一如往昔！#微盘点#...全文
627,#今日穿搭(ootd)#过期小赵 还会有人喜欢吗 (也就存了几百张慢慢欣赏北京
628,#点外卖的最高境界#《关于我把美团ID改成了食品监管员这档事》
629,娱乐#张雨绮与张墨怀街头相拥#张雨绮新恋情曝光！近日，张雨绮被拍到与一男子在街边亲密搂抱，次日，该男子还独自从张雨绮住处离开，疑似新恋情曝光。随后男子身份曝光，名叫张墨怀 ，原名吕勇卓，曾出演《马卡龙少女》，比张雨绮小10岁。#张雨绮又双叒叕换男友了#这对姐弟恋相差十岁，看来 ...全文
630,【#绍兴本轮疫情首例确诊病例发现过程#】经流行病学调查，孙某自11月20号起未离开过上虞，在医院严格按照规范开展定期的核酸检测，最近一次检测为12月1日，检测结果阴性。12月1日-3日，因其奶奶离世，在葬礼期间与省外回来奔丧的堂弟孙某有密切接触。该病例轨迹清晰、直接，一个小区、相关工作单位、餐 ...全文
631,#甄嬛传#冷知识：富察贵人是中戏的，但是学管理的不是学表演，负责商务合作，项目就是东阿阿胶，后来被老板安排进去参演了。环球音乐风向标的微博视频
632,【#迷糊狗子撞翻奶爸拔腿就跑#】山东济南消防搜救犬基地，难得清静的训导员奶爸刚悠闲几步，就被猛冲过来的毛孩子撞倒在地。干了坏事儿的狗子逃的倒是挺快，训导员都无耐了~搜救汪：地滑？不存在的，是我对奶爸的爱刹不住闸~#全民正能量#中国消防的微博视频
633,#参考快讯#【外媒：#巴基斯坦拒绝参加美国所谓民主峰会#】据巴基斯坦媒体《巴基斯坦日报》消息，巴基斯坦外交部当地时间8日宣布，巴基斯坦回绝了美国向其发出的关于出席“民主峰会”的邀请。巴基斯坦外交部在一份声明中说，巴基斯坦谢绝了美国发出相关邀请。巴方仍将与美国就一系列问题保持接 ...全文
634,#刘学义#du上我北舞附中的尊严，也得跟你们尬！！！！星味社的微博视频
635,100年前的武汉长啥样？你知道吗？#100年前的武汉长啥样#武汉100年前的武汉长啥样？
636,#11辆电动车同一路口被查#【河北石家庄：长安交警严查电动车违法行为】近日，石家庄长安交警持续发力，严查严管严治电动车各类交通违法行为。12月8日7时许至11时许，在北二环与谈固大街交口附近，交警共扣留11辆违规上路的电动车。长安交警现场提醒市民，电动自行车应当符合以下要求：电驱动行驶时，最 ...全文
637,#娜恩是小天使吧#足球青苗班，怪力少女娜恩，球童建厚，调皮捣蛋振瑀～超可爱脱单哥的微博视频
638,【#中南大学博导拒绝他人论文后以自己名义发表#】日前，国家自然科学基金委员会发布《2021年查处的不端行为案件处理决定（第四批次）》。其中一例为中南大学博导钟国梁等撤稿论文存在抄袭剽窃、未经同意使用他人署名等问题。经查，第一作者钟国梁将其作为审稿人评审的论文拒稿后，对该论文稍加修改投稿 ...全文
639,【#江门加快推进大型产业集聚区建设##江门打造大湾区制造业高质量发展主战场#】工业是经济发展的命脉，工业兴则经济兴。工业园区在推动江门工业经济发展中发挥着“稳定器”和“压舱石”的作用。今年8月，广东省制造业高质量发展“十四五”规划对江门寄予厚望：全部20个战略性产业将江门标注为布局城 ...全文
640,【提醒！12月11日#杭州公交将启用场所码#】@杭州公交：自12月11日首班起启用“场所码”。乘坐杭州公交的乘客，请在上车前使用手机支付宝扫码，出示核验的绿码后上车。无法扫码的老年人、学生等可刷老年卡、学生卡上车，其余无法进行手机扫码核验的乘客，请遵从现场工作人员指引。今天你乘 ...全文
641,#我们恋爱吧#老谢提到文君非常满意：贤惠又温柔~除了她，从来没有人这样对我！娱情八局的微博视频
642,#日本议员在偷袭珍珠港纪念日参拜靖国神社##出道吧新星#当地时间12月7日上午，日本“大家一起参拜靖国神社国会议员之会”99名议员集体参拜靖国神社，其中包括数名副大臣。值得注意的是，今天正是日本偷袭珍珠港80周年纪念日。环视频的微博视频
643,【#威海荧光海太梦幻了#】近日，山东威海海岸警察支队高区大队民警在夜巡海岸时发现，威海沿海海水中出现希氏弯喉#海萤#。入夜之后，在海浪和礁石的拍击下，海萤发出浅蓝色的荧光，将海岸映照成蔚蓝色，犹如星光坠海。这难道不是北极？#蓝V视界#闪电新闻的微博视频
644,【老邪吐槽】《国产职场剧女主图鉴》：低智、低能、低情商！在绝大多数国产职场剧中，女主的形象不是傻白甜，就是能力低下靠男主如果你成为国产职场剧女主，你的生活大概就是这样。#国产职场剧女主图鉴#老邪说电影的微博视频
645,练先生在杭州万象城的卡地亚专卖店买了一只40多万元的手镯，他无意中得知店员在背后议论他买不起。于是练先生去卡地亚想要个说法，对方也不接待。最后他带着1818记者去店里，他说我在万象城消费排名前20，你凭什么这么说我？说完气的准备住院，要求卡地亚提供住院费我的厕所读物的微博视频
646,#月光书房#染一缕月光，造一间书房书一卷清寒，润一颗心灵每一个子夜 “月读人”为你读书深夜好文，温暖相伴今晚12:30湖南卫视《月光书房》等你来听湖南卫视月光书房的微博视频
647,郑秀晶oni翻包记来啦Cr：FashionDash
648,【#孝感城区17路公交临时改线#】因316国道道路施工改造，现定12月8日起，孝感城区17路公交临时改线，为落实疫情常态化防控要求，保障广大市民出行安全，请大家在乘车时佩带口罩，扫码乘车。孝感
649,同一演员不同角色反差有多大。#同一演员不同角色的反差有多大#思想聚焦的微博视频
650,可爱头像 太喜欢了！！
651,这个姐妹27岁，想重新高考怕自己无法适应校园生活
652,被评论笑死，突然不怕鬼了
653,拐卖就是一场残酷的交易，没有任何情感可言。他们需要一个男孩，作为家里的孩子，延续香火。也需要一个女孩，作为家庭成员的妻子，生下新的小孩。过往的案例中，我们常常为人贩子落网而拍手叫好，也会因为看到家庭重逢而感动落泪，但对于买孩子的家庭，却鲜少看到其遭受惩罚。或许正因为如此， ...全文
654,向大家正式介绍
655,孩子见人没礼貌，怎么办？袁咏仪一招搞定魔童，虎妈真是教育能手，这和警察家庭白氛围关连很大。哈哈，袁咏仪从小也被老爸教训不少了。。娱翅的微博视频
656,#还是选择留在养父母身边#《亲爱的》这部电影我当时也看了，张译他们两口子的孩子在自家别墅门口不见了而且很长一段时间都说，不生二胎；因为感觉生了二胎，就好像不要那个丢了的孩子似的我当时看到这一段哭得不行（要是没记错，电影的最后他们好像还是怀孕了是不是）然后今天看见说孩子找到了， ...全文
657,女孩子可以剪短发 剃光头 看球赛 穿男装 抽烟喝酒 玩赛车 买机器人男孩子可以留长发 带耳钉 化妆 穿裙子 喜欢粉红色 收藏芭比娃娃女孩子喜欢钱不都是拜金男孩子不是都要有车有房才能结婚女孩子想读书就读书，可去他妈的女子无才便是德，去他妈的书读多了不好结婚男孩子想哭就可以哭，可滚犊子 ...全文
658,哈哈哈哈哈哈哈哈我笑到全小区都戴上助听器哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
659,【#福建有多干燥#？】今天厦门网友拍摄的视频，天气依旧是晴朗而干燥。距离厦门上次下雨已过去半个月了，最近3个月降水量也只有50多毫米，较常年同期异常偏少。厦门只是广东、福建近期持续干旱的代表，10月台风影响结束后华南瞬间切换到干燥少雨，特别是华南沿海自11月以来就没怎么下过雨；珠江口“咸 ...全文
660,【#广州的哥逆行送高烧抽搐幼童就医#，车内对话暖哭】12月7日，广州“的哥”侯朝阳在天河区东圃前进小学附近营运时，发现路边蹲坐着一位怀抱高烧抽搐孩童，还带着一个小女儿的的年轻妈妈。问清情况后，为尽快将无助的母女三人送至医院，侯师傅确认路况后逆行驶往医院，原本需要约30分钟的路程缩短至12 ...全文
661,虽然知道 柳岩 姐姐一直被催婚挺心疼的但是这回应方式也太搞笑了 柳岩说单身怎么了 柳岩抖音直播首秀#娱乐综艺##明星日常#小津看电影的微博视频
662,#今日面孔#【#电诈团伙到反诈中心开证明被抓#】近日，云南昆明。4名涉嫌电信网络诈骗男子居然到反诈中心开证明，原因是自己的银行卡被冻结不能正常使用。这下正好，4人被警方“团灭”。网友：这智商也只有吃免费牢饭比较合适。澎湃新闻的微博视频
663,【#德国新任总理朔尔茨与默克尔正式交接##朔尔茨向默克尔献上花束#】当地时间8日，德国前总理默克尔与新任总理朔尔茨在总理府前正式完成交接仪式。朔尔茨向默克尔献上花束，他表示，默克尔在任期间应对了许多危机和挑战，其中一部分是他们共同渡过的，“我们之间一直有着紧密的联系和信任的合作。” ...全文
664,【#8岁双胞胎姐妹玩捉迷藏捡20万现金#摆地摊的妈妈上了完美一课】#平安法治2021#12月5日，浙江杭州，8岁双胞胎姐妹玩捉迷藏，捡到20万元现金。摆地摊的妈妈知道后大吃一惊，想到失主一定很着急，她一边教育女儿，一边马上报警。经了解，双胞胎姐妹分别叫陈吉娜、陈吉媛，是闲林中心小学二年级的 ...全文
665,#我家那小子#武艺拿衣服时衣架子突然倒塌，整个人都不好了晚安zero-的微博视频
666,#哈市一流调员一天打180个电话#【疫情防控信息核查员和病毒抢时间 一天打180个电话】这几天，您是否接到过有关疫情的流调电话？在大部分市民给予积极配合的同时，也有人把它当成是诈骗电话，脾气暴的甚至还会骂对方几句。其实这些工作人员很多人都有自己的本职工作，利用业余时间为市民和我们的城市保 ...全文
667,#今天穿什么##街拍#杭州街拍合集，小姐姐们的穿搭保暖与气质兼具，总能透露出杭州独有的清丽温婉
668,人胖瘦能变化这么大吗？看了突然不饿了…我开始减肥吧
669,谅解书？是不是还要给点生活费？再这么发展下去买家要成受害者了。提刀探花在缅北的微博视频
670,#奶奶教孙子直播间学东北话#今天被这位东北奶奶治愈了。为了孩子远离家乡，每天听着辣椒味的长沙方言，忽然在淘宝直播间听到了大碴子味的东北方言，触发了思乡情绪，边看直播边教孙子讲方言。我想家，但是我不说。这是多少跟孩子住一起的老人真实的内心写照。老人一辈子为子女牺牲，做子女的也要学会向 ...全文
671,画个嘴👄
672,#体验到胡说八道的乐趣#能怼得大妈无话可说#年度欢乐放映厅#
673,Why??
674,【#微博禁言关闭526个恶意宣扬仇恨账号#】近日，有部分账号恶意发布宣扬仇恨、制造性别对立、挑唆矛盾的内容。截至目前，微博站方共处理上述违规内容9427条。欢迎广大网友积极提供举报线索。举报方式：可通过前台投诉中的“宣扬仇恨”选项进行投诉举报。
675,【#95岁母亲连夜探望70岁骨折儿子#，儿子躺病床一声“妈”感动众人】 近日，河南洛阳。伊川县95岁老人李秀英，得知她70岁大儿子意外骨折住院后，夜不能寐，让其孙子康玉辉连夜带她到医院探望。康拴道看到母亲来了，躺在病床上红着眼睛喊了声“妈”。康玉辉称，20天前他大伯因意外骨折住院，家人一直瞒 ...全文
676,所以大家觉得喜欢和爱到底是什么？
677,怎么我还在为方诸…意难平。
678,？？？#新闻里出现绿鱼头#
679,【#民警喊话医护妻子作业都我来教#】近日，驰援浙江宁波镇海的民警吴彬丙，在执勤十几个小时后，发了一条朋友圈，“老婆，对不起，等我们回去，所有的作业都我来教……”他的妻子是一名医务工作者，在工作间隙打视频辅导女儿作业，没来得及辅导完，又投入到紧张的工作中。安哥：全网监督打卡...全文
680,【#夫妻闹离婚男方带人放学路上抢孩子#，女方为追车摔断腿称已报警处理】12月7日，浙江绍兴。陈女士和丈夫因夫妻矛盾，现处于离婚诉讼期间。男方找来8、9个陌生人，在小儿子放学路上抢孩子，陈女士追车摔倒导致右腿髌骨骨折。陈女士称，小儿子今年只有6岁，当时被吓得大哭大闹。去年10月30日也发 ...全文
681,#朱正廷说灰色是通透色##朱正廷被伊能静夸到害羞#原来朱正廷对颜色有这么深的研究~没想到“灰色”有生之年还能喜提“通透色”的称号。用灰色来形容张继科真的是再合适不过了~#我恋3下周要最终告白了#知名美少女观众的微博视频
682,【27岁#女生体检查出心脏病就诊又发现肺癌#，医生一次手术为她解决两大难题】近期在广州，27岁的文女士在单位体检时发现了心脏杂音，进一步检查后被告知患有风湿性心脏病，在诊治过程中检查，竟又发现了右侧肺癌病变。医生最终制定方案，两个手术在同期一次过进行，不仅把文女士心脏的问题修复了，而且 ...全文
683,【#贵州7岁男童将6000元当玩具撕成碎纸#母亲：儿子均有不同程度智力障碍】近日，贵州遵义凤冈县一残疾低保家庭中的7岁男童，将6000元百元大钞当玩具撕碎。据报道，男童父亲周某60多岁，是脑溢血患者，俩儿子均有不同程度智力障碍。事发当天，周某妻子带着9岁的大儿子赶集，留下7岁小儿子在家。小儿子 ...全文
684,【不讲武德！#拔河赛男生穿短裙跳甩葱舞迷惑对手#，队友：想精神攻击对手结果自己队输了】12月7日，河南郑州。一学校拔河比赛，男生穿上短裙拿着馒头和葱跳舞企图动摇对手军心。现场韩同学表示，没想到他支持的队还是输了，说明场外辅助没用，实力才是主要的！@搜狐千里眼搜狐千里眼的微博视频
685,【#中方回应美称不派代表出席北京冬奥#】就美国政府将不派任何外交或官方代表出席2022年北京冬奥会，中国外交部发言人赵立坚7日在例行记者会上应询表示，中方对美方表态强烈不满、坚决反对，已向美方提出严正交涉，并将作出坚决反制。有记者提问，12月6日，美方宣布，由于中国持续在新疆实施“种 ...全文
686,中国有嘻哈海选Tizzy T#rap#hiphop发电站的微博视频
687,【#贵州遵义发现10万年前大熊猫化石#🐼】记者近日从贵州科学院山地资源研究所了解到，贵州省遵义市绥阳县双河洞发现大熊猫化石，最早距今10万年以上。据了解，双河洞位于遵义市绥阳县温泉镇，目前已探明长度超300公里，是亚洲第一长的洞穴，也是世界最长的白云岩洞穴。其内部结构复杂，水洞、旱洞并 ...全文
688,陈坤这54个营业造型哪个是你的最爱？这么多年过去了，他还是当年的他，我却不是当年的我了
689,【#80后体育老师用生命托举生命#】2021年6月1日，重庆市大渡口区育才小学教师王红旭，勇救两名落水儿童，不幸牺牲。在生命的最后关头，他用最后的托举，把生的希望留给了这两名素不相识的孩子。他用实际行动深刻诠释了一名优秀人民教师向险而行、不惧牺牲的青春风采，谱写了一曲感人肺腑、可歌可泣的英 ...全文
690,#内行才知道#重庆汤圆有多大 这到底是汤圆还是麻圆，还是长得像汤圆的麻圆#出道吧新星#贵阳筑视频的微博视频
691,#大学城美食为什么那么便宜#说起来大学城美食怎么少的了爆火的烧汁豆腐呢泥萌要不要试一下哈#Lily的生活书#Lily的美食日记的微博视频
692,我掐指一算，这次该拿冠军了！决赛加油@孙颖莎
693,🍉：1，易烊千玺特别喜欢许君聪，他说许君聪长在了他的笑点上，许君聪还邀请他去长白山滑雪。2，yqh的还在一年级到四年级的学费总价格是28w。3，刚刚公开恋情，爱过大海爱过你的那个模特，跟他女朋友骑摩托车出街不带头盔。4，某地老牌歌神把自己豪宅出售了。5，白敬亭是横店篮球队的副队长。6 ...全文
694,【投稿】怀孕还有可能耳聋
695,【超燃！#湄公河两栖特战队首次曝光#】水域救援、水下障碍清除、索降营救、武装泅渡、丛林搜索…在中老缅泰联合巡逻10周年到来之际，湄公河两栖特战队开展了为期2个月的综合实战训练。2019年，云南省公安厅水上巡逻总队组建两栖特战队，打造水上应急处突尖刀快反力量。（人民日报记者杨文明、叶传增）  ...全文
696,这里是沙雕网友沙雕网友能给大家带来无尽的笑料 是快乐的源泉 抑郁的终结者让我们谢谢沙雕网友#2021微博混剪大赛##2021最佳趣味##金牌译制#KIMKILLS的微博视频
697,痛改前非乎？前 非 甚 痛，顺 非 而 泽 乎？
698,#简单方法缓解腰酸背痛#一位国外的脊椎医生分享了许多缓解身体不同部位疼痛的简单方法，主要针对腰酸背痛，也有减轻坐骨神经痛、手腕痛、富贵包的动作，有需要的小伙伴可以今天就做起来了[春游家族]英国报姐的微博视频
699,伊藤美城半决赛零封丁宁晋级决赛，结果被陈梦横扫！LHP谈情伤感的微博视频
700,罗翔老师：越读书越宽容。
701,分享图片
702,喝醉后打扫了ktv的卫生#喝醉后打扫了ktv的卫生#
703,好暖啊，看得我泪目了【紫！这个学期给我爸妈攒了六千块钱！打算带他们去做个体检！用的是奖学金、生活费、零用钱、饭补，扣扣搜搜很久，但是很开心~我的家庭是重组家庭，爸爸四十岁左右和妈妈在一起的，对我特别的好，该教训我时不会回避，付出的都是真心，呜呜呜呜呜真的很感谢遇到了我爸爸。】
704,啊～我娘酱的牛肉，真是一绝！感谢母亲赐予我食物！哦耶！@徻事後素
705,每次以为到头儿了结果还有#年度欢乐放映厅#我和基友的日常的微博视频
706,#符建涛生母的三观有多正#付建涛母亲寻子十四年终于找回了亲生儿子，本是皆大欢喜的结局却因儿子想求母亲出谅解书再起争端。采访中母亲情绪十分激动，“称允许儿子回养父母家，但并不代表她原谅，要让做这种买卖人口的人受到惩罚。”这一席话被网友怒赞。然而千人千面，各有各的看法。关于这件事情 ...全文
707,突如其来的手势……
708,#有没有可能我是男的#哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死我了，没想到还真的回了
709,#被拐孩子问生母能否谅解养父母#孙海洋寻子关键人，另一被拐孩子符建涛清晰记得当年被拐细节：拐我的就是我养家三叔。来个会说的的微博视频
710,俺滴新oc
711,生命的墨迹 是透明泪滴@新加坡本土天王李国煌#孙燕姿世界终结前一天MV##打卡星能量#
712,#一碗水端平的最高境界#端水大师
713,哈哈哈哈哈哈哈哈哈哈哈又尴尬又有一、、心动的感觉是怎么回事！！！
714,画渣的笨拙修行之旅进行到第五天了。
715,蛋糕的流水线是怎么做的呢？#视频制作人出道计划##剧情制作人计划#最新奇的视频的微博视频
716,#孙卓没有对养父母产生过恨意#7日，《亲爱的》原型孙海洋儿子孙卓在极目新闻采访中透露，自己一个月前才知道是被收养的，知道这个事实后，对“养父母”感情没有什么变化，没有产生过恨意。#孙卓没看过电影亲爱的#，没打算去看，怕看的时候太痛苦。至于回去还是留下，他表示还需要再考虑一下。 ...全文
717,今 日 雪 大
718,哈哈哈哈装修师傅整了个未来感造型
719,【浙江宁波一地升级为中风险地区】国务院客户端小程序显示，浙江省宁波市镇海区蛟川街道甬记公寓已经升级为中风险地区。目前，宁波市有蛟川街道临江小区、蛟川街道宁波阿尔卑斯电子有限公司、蛟川街道甬记公寓3个中风险地区。
720,#男子每天喝20瓶啤酒膝盖抽出白色晶体#【#男子每天喝20瓶啤酒膝盖抽出150毫升白色晶体#：系痛风引起】广东中山的李先生平时爱喝啤酒，每天都喝20瓶，导致痛风反复发作。近日，李先生痛风再次发作，且痛感加重了，打针、吃药都无法缓解。来到医院检查后发现，李先生的血尿酸高达607μmol/L，最终确诊为 ...全文
721,"#贝索斯规定湖南养女每星期花掉5万美元零用钱#综合外媒报道及公开资料，贝索斯于1994年创办亚马逊，该股目前市值超过1.7万亿美元，而贝索斯身家亦达1,970亿美元。然而，贝索斯却有一个不太幸福的童年。他亲生父亲抛弃妻儿，剩下贝索斯与母亲艰苦度日，直至母亲改嫁，继父的出现，改变了贝佐斯的一 ...全文"
722,【#邓亚萍走进北京高校鼓励双非学子##邓亚萍反emo大师#】成为“初代大魔王”前，邓亚萍也曾因为身高而备受质疑，但她通过努力把弱点变成了长处，找到属于自己的战术打法，用实力打破了所有质疑，在北京高校演讲中，她也把这种精神在开场白中传递给了青年学生，用自己的亲身经历鼓励大学生勇敢追梦！ ...全文
723,【#韩方表示始终支持北京冬奥会#圆满成功 外交部回应】12月8日，外交部发言人汪文斌主持例行记者会。问：据报道，韩国外交部发言人7日表示，韩方始终支持北京冬奥会取得圆满成功，一贯希望北京冬奥会为东北亚乃至全世界的和平稳定与韩朝关系发展作出贡献。中方对此有何评论？答：我注意到韩方有关 ...全文
724,武汉到底有多少所高校？官方已公布名单！你是在武汉读的大学吗？#武汉到底有多少大学##武汉高校墙#武汉武汉到底有多少所高校？官方公布名单！
725,【#失去右腿的她帮智力障碍者找工作#：我能帮助比我更困难的人】成都市武侯区善工家园助残中心，有这样一群人，虽然有的已经成年，但心智却如同孩子。“如果说我们是个大人，那他们就是孩子，从我进善工家园的第一天起，就一直称呼他们为孩子。”善工家园就业辅导老师石玥对红星新闻记者说。这群孩子都 ...全文
726,买房后一周亏损53万，业主不干了，成都这个楼盘火了。有人说可以接受慢慢跌，温水煮壳马我是不介意的，但是隔一期就跌这凶是个人也接受不了。个人认为房子属于商品，价格变动很正常，但是房子整体价格太高，不应该随意变动。应该每半年允许开发商调整一次备案价格，销售价格允许在备案价格上下一点区间 ...全文
727,果然长得帅背啥都是时尚～阿云嘎把甲壳虫背包背得好贵 为歌而赞#娱乐综艺##明星日常#沐浴影视的微博视频
728,#everglow舞台#EVERGLOW No Lie舞台纯净版娱乐小明明的微博视频
729,#男子醉酒砸车第二天热心帮民警调监控#【北京一男子深夜醉酒一路砸车 次日还热心帮忙民警调监控：啊？原来是我】11月26日一早，北京丰台洋桥派出所接到多位车主报警，停在路边的汽车被砸坏。民警通过调取监控，发现嫌疑人为一名醉酒男子。民警一路追踪到附近餐馆内，餐馆员工王某见民警上门调查案件， ...全文
730,#银川禁养犬类品种名录移除柴犬和法斗#近日，银川市综合执法监督局和银川市农业农村局联合发布了新修订的《银川市禁养犬类品种名录》（2021年）（以下简称《名录》），该《名录》自今年12月4日起执行，2019年11月1日发布的《银川市禁养犬名录》（2019年）同时废止《银川市禁养犬类品种名录》正式实施 移除柴犬和法国斗牛犬
731,#王曼妮#三十而已：店里顾客受伤，王曼妮的做法漏洞百出.....职场细节太致命了会说话会办事会做人2021职场那些事 沟通心计为人处事娱小小小的微博视频
732,#袁冰妍倾城亦清欢红衣造型#来看袁冰妍《倾城亦清欢》红衣造型幕后花絮，这样的凤清欢好飒！独舌美少女的微博视频
